abbrev,state,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
AL,Alabama,N/A,67,304,56,788,272,0,0,50,6009,7972,257,0,275,48,0,18,230,798,0,200,17,223,0,1986,139,0,0,154,0,0,34,201,755,0,308,40,0,0,0,244,0,3198,1907,0,0,876,140,0,0,0
AK,Alaska,69,N/A,960,89,1282,553,0,0,29,640,540,320,298,156,0,0,184,81,139,0,201,19,0,56,0,108,148,67,583,0,52,314,195,456,205,75,196,445,0,0,232,24,132,1389,256,0,294,2090,0,71,25
AZ,Arizona,307,734,N/A,349,21324,5376,534,104,134,4028,1463,1016,1041,3073,862,761,789,281,373,138,823,657,1543,1440,117,1184,554,551,5691,195,889,6810,1797,1407,116,1435,913,2752,0,80,495,284,900,7904,3293,56,1870,4497,0,1189,353
AR,Arkansas,33,89,388,N/A,698,110,0,0,29,441,187,70,0,234,24,30,290,0,632,0,47,22,30,0,395,2034,0,52,155,0,30,30,33,64,0,111,2696,0,0,0,0,0,1907,4474,0,0,118,62,0,15,0
CA,California,1106,1346,46015,1741,N/A,13375,2497,437,1446,19752,7604,9335,5584,9935,2465,1006,2150,1102,1789,434,5355,5929,3874,3037,748,3560,1454,1466,49167,693,4635,4389,12214,7119,340,4081,2481,21227,0,938,1800,346,3300,33230,9489,163,11101,26033,21,1992,395
CO,Colorado,468,424,6926,155,11546,N/A,219,79,214,4575,1342,827,549,1826,316,429,781,274,245,43,789,768,606,908,203,1029,712,1603,2844,48,154,2712,1169,955,112,758,964,1243,0,42,208,334,520,8123,1670,27,1780,2833,0,345,1807
CT,Connecticut,0,10,1076,0,2989,426,N/A,189,303,12384,1498,425,0,864,140,33,33,68,0,862,1000,6703,481,126,0,131,0,0,414,987,2261,68,8999,1673,0,431,0,96,0,1660,835,0,206,1252,72,607,1914,637,0,117,0
DE,Delaware,0,73,201,0,306,86,142,N/A,78,1271,256,23,0,163,0,0,0,0,0,0,3978,121,70,0,0,41,0,0,66,0,1382,0,534,289,0,98,31,0,0,0,97,0,40,247,0,0,541,38,0,0,0
DC,District of Columbia ,0,0,182,0,1271,163,185,104,N/A,878,324,84,0,375,28,0,0,21,94,23,18903,527,101,75,28,83,0,0,60,34,265,65,1432,482,0,163,16,48,0,29,101,17,115,434,0,21,6970,173,57,80,0
FL,Florida,5369,497,4011,277,13026,3418,3317,446,692,N/A,19716,1699,80,5808,1618,96,526,1559,1341,988,4982,5797,3560,992,1334,1427,0,278,3273,727,6989,651,15372,11187,0,5269,894,263,0,801,4575,0,5100,13039,386,114,9435,2600,135,778,0
GA,Georgia,7074,511,1515,159,4807,1311,697,102,392,20469,N/A,952,0,2297,386,21,408,698,1084,49,1894,755,1051,418,370,714,0,76,587,43,1173,172,3088,5220,0,1515,351,92,0,39,6446,0,6019,5686,115,0,3196,1145,0,230,20
HI,Hawaii,305,343,1173,46,7843,921,287,0,91,1854,1181,N/A,97,425,62,0,477,255,364,44,1001,226,194,122,101,231,41,154,2081,18,196,146,667,925,34,294,378,606,0,128,449,0,417,2734,424,0,2396,2588,0,89,29
ID,Idaho,0,221,1103,0,1513,343,0,0,19,84,0,41,N/A,45,0,0,0,0,0,0,0,0,0,22,0,25,453,0,943,0,0,25,0,20,0,0,0,1586,0,0,0,0,0,329,2895,0,91,4582,0,0,144
IL,Illinois,623,160,8033,703,12846,2681,1002,176,515,16131,3752,523,62,N/A,16549,4790,770,1147,479,94,1336,2047,5622,3055,941,8647,39,614,3521,100,1737,499,3301,2257,58,3201,382,493,0,112,733,38,2482,9014,350,36,2802,1790,0,13308,0
IN,Indiana,58,17,2090,0,2348,458,80,19,94,5343,934,63,0,8732,N/A,29,116,4429,60,0,166,164,4056,367,21,513,0,34,654,0,69,55,420,644,0,4129,59,72,0,0,148,0,773,1813,38,0,306,229,0,409,0
IA,Iowa,0,0,1307,159,668,510,0,0,34,370,108,15,0,4181,63,N/A,474,33,13,0,34,41,46,1484,0,726,0,3636,255,0,0,0,100,72,0,35,49,37,0,0,0,851,22,704,26,0,90,117,0,674,0
KS,Kansas,91,112,1428,379,1832,1438,65,0,40,1337,679,299,0,911,157,309,N/A,153,18,0,154,132,195,201,0,12736,0,714,376,0,75,124,257,597,0,185,2154,59,0,0,55,18,355,3946,50,0,556,453,0,139,0
KY,Kentucky,209,182,479,50,930,395,40,0,44,2326,895,265,0,734,4733,0,215,N/A,160,0,145,72,171,50,0,226,0,0,158,0,0,16,197,655,0,5231,89,19,0,0,282,0,5538,1298,25,0,412,230,388,42,0
LA,Louisiana,681,82,511,606,1730,169,15,0,84,2351,1432,230,0,328,20,0,89,93,N/A,0,187,86,48,35,3563,228,0,36,375,0,13,18,466,443,57,122,206,20,0,0,76,0,705,12269,47,0,502,260,0,34,0
ME,Maine,0,0,256,0,318,60,475,28,48,1844,0,149,0,38,0,0,0,0,0,N/A,64,1760,0,18,0,0,0,0,78,2348,0,15,236,92,0,0,0,13,0,74,26,0,20,64,0,96,253,71,0,0,0
MD,Maryland,137,154,1294,32,5060,917,789,4918,11291,10858,2261,764,0,1108,142,0,115,109,218,132,N/A,1085,433,221,125,128,0,51,742,134,2036,194,3619,3663,0,875,86,142,0,202,1294,0,495,2877,145,26,18175,830,3290,164,0
MA,Massachusetts,108,29,2083,24,8281,1052,7227,194,892,21681,2068,277,0,1855,238,59,59,81,145,4182,1744,N/A,591,375,0,289,0,24,825,18193,2964,339,9493,2273,0,958,39,423,0,7832,760,0,271,2328,277,1477,2595,937,0,222,0
MI,Michigan,511,79,3507,125,5516,907,591,64,232,10296,2179,173,0,5252,4454,77,96,393,126,0,817,704,N/A,701,22,896,0,67,1364,0,356,155,1593,1273,0,5544,93,223,0,0,517,0,1566,3232,184,0,1114,675,0,1407,0
MN,Minnesota,18,82,2840,212,3461,1070,126,38,143,2585,544,183,30,2224,324,983,228,58,28,36,235,426,562,N/A,0,475,84,439,671,0,162,97,706,555,3022,402,91,267,0,24,37,985,264,1602,122,0,325,685,0,8891,13
MS,Mississippi,2124,68,284,382,615,107,0,31,16,1449,770,74,26,255,0,0,14,0,2595,0,83,0,22,19,N/A,0,0,41,209,0,27,46,15,307,0,65,134,0,0,0,110,0,5705,1636,23,0,481,35,0,32,0
MO,Missouri,124,62,1723,2278,3038,1127,144,31,128,3054,995,263,0,7821,440,450,12447,220,255,0,271,326,556,494,67,N/A,0,540,730,18,141,162,575,599,0,532,1249,143,0,0,83,21,913,3697,122,0,560,451,0,247,0
MT,Montana,0,136,555,0,535,453,0,0,14,32,19,0,600,41,0,0,0,0,0,0,0,0,0,93,0,0,N/A,0,362,0,0,0,0,0,114,0,0,433,0,0,0,46,0,67,172,0,0,1636,0,0,346
NE,Nebraska,40,99,1076,37,1005,1212,0,0,25,672,181,71,29,598,44,4155,830,36,62,0,126,0,69,416,30,776,51,N/A,352,0,0,128,50,125,88,120,173,65,0,0,68,470,118,1194,193,0,179,300,0,144,262
NV,Nevada,226,316,6023,118,19187,1658,140,28,39,2878,432,1083,1021,1204,331,86,251,117,196,23,326,238,535,394,197,375,335,179,N/A,64,499,861,843,378,19,590,300,1692,0,36,211,95,386,2946,3006,0,543,2409,0,342,141
NH,New Hampshire,0,0,508,0,742,114,656,24,39,3991,106,53,0,80,0,0,0,0,0,3243,77,7670,30,15,0,0,0,0,153,N/A,79,0,556,282,0,97,0,19,0,285,119,0,26,365,28,1603,263,141,0,0,0
NJ,New Jersey,119,32,2474,0,6775,366,2973,3222,553,30740,3456,333,0,1712,102,0,108,19,49,71,3655,3193,584,278,0,180,0,59,1357,132,N/A,34,27876,4270,0,710,0,63,0,329,1403,0,325,3001,64,76,4366,552,0,81,0
NM,New Mexico,94,213,7970,21,2526,2740,21,0,41,812,132,172,63,204,20,32,105,43,0,0,118,85,46,53,21,79,14,28,1085,0,0,N/A,160,130,0,164,160,346,0,0,0,0,63,7315,567,0,329,457,0,51,24
NY,New York,389,131,4489,39,14695,1718,17151,1728,1587,66116,10053,793,17,3266,455,79,322,515,462,351,7464,9194,1642,826,0,670,0,128,3111,713,55113,338,N/A,10641,0,3060,249,471,0,1619,3311,0,1085,6340,258,1018,9742,1478,0,388,16
NC,North Carolina,758,336,1571,113,4683,942,610,162,464,10654,5882,901,16,1416,262,81,415,483,516,17,3000,899,529,263,58,512,0,23,433,90,1092,143,3142,N/A,0,1252,295,85,0,196,13372,0,1933,4359,121,0,8709,984,180,163,0
ND,North Dakota,0,63,309,0,182,279,0,0,0,45,30,0,0,102,0,18,0,0,37,0,0,0,0,3867,20,0,80,61,108,0,0,0,0,0,N/A,0,22,0,0,0,0,255,0,178,0,0,0,151,0,38,41
OH,Ohio,352,106,3265,0,5159,1083,333,115,321,14274,2467,266,25,3677,5011,23,137,7007,188,63,1128,861,5787,537,18,610,0,96,1489,23,541,247,1986,2548,0,N/A,128,171,0,39,1091,0,1463,2827,130,18,1942,657,2467,368,0
OK,Oklahoma,77,156,1085,3110,1980,1238,53,0,34,1451,538,199,0,515,73,46,1790,102,281,0,174,57,93,250,48,1590,0,131,430,0,23,251,182,411,0,135,N/A,88,0,0,129,0,352,10807,128,0,519,467,0,26,0
OR,Oregon,0,532,3891,0,10794,940,62,0,108,576,193,803,2224,423,62,36,68,0,32,23,129,271,112,243,0,125,401,26,2279,20,0,327,428,252,0,138,14,N/A,0,23,0,0,81,1228,825,24,225,19601,0,110,12
PA,Pennsylvania,0,27,2373,0,5027,591,1180,6658,718,16588,1764,218,0,1507,195,0,71,133,185,128,7949,1943,726,214,22,290,0,0,926,95,19988,108,9453,3484,0,4197,13,110,N/A,168,1174,0,359,2031,91,74,4688,592,917,156,0
RI,Rhode Island,0,0,224,0,718,71,2276,23,58,3923,156,117,0,127,0,0,0,15,0,216,242,6518,19,32,0,20,0,0,124,345,229,15,929,213,0,65,22,20,0,N/A,69,0,17,181,19,24,917,177,0,0,0
SC,South Carolina,320,150,473,0,1126,196,425,45,149,5026,6378,486,0,367,57,0,74,193,22,0,714,98,147,20,88,70,0,0,262,0,147,20,777,10711,0,361,92,0,0,33,N/A,0,732,1105,17,0,2262,461,20,0,0
SD,South Dakota,0,28,430,36,133,330,0,0,0,38,0,0,0,23,0,530,17,0,0,0,0,0,0,852,0,0,39,378,80,0,0,46,0,0,237,0,0,0,0,0,0,N/A,0,109,26,0,0,39,0,0,233
TN,Tennessee,2891,104,843,1791,2085,473,84,52,129,5433,6963,247,0,1112,478,26,203,5065,546,18,455,150,800,197,8498,722,0,68,407,0,86,72,488,1837,0,728,252,100,0,69,691,0,N/A,3107,55,0,2333,352,0,143,0
TX,Texas,1850,1341,9570,4924,23191,7948,1210,268,588,15604,7002,1843,443,5421,1435,453,2526,1216,9185,140,3358,1530,2656,1474,1433,2811,59,1116,3705,86,1832,7648,4067,4389,156,2340,9080,877,0,89,1481,279,3468,N/A,1337,24,6088,4655,21,664,98
UT,Utah,0,243,4784,0,6918,2087,122,0,37,835,209,504,3358,405,123,109,86,14,29,0,242,213,240,140,0,262,363,152,4421,42,68,722,328,259,0,385,116,1069,0,0,62,22,137,2016,N/A,0,626,2241,0,109,719
VT,Vermont,0,0,115,0,186,13,214,0,27,382,13,0,0,27,0,0,0,0,0,157,40,910,0,15,0,0,0,0,24,1649,14,0,1193,147,0,0,0,31,0,31,17,0,0,54,20,N/A,39,35,0,0,0
VA,Virginia,631,163,1849,71,8288,1463,899,602,5264,13410,3189,1839,33,1754,206,0,449,260,395,312,16949,1426,615,246,382,354,0,228,947,157,1420,346,3637,11318,0,1402,224,236,0,373,2423,0,2670,5063,245,49,N/A,1379,2973,157,0
WA,Washington,189,1693,7463,50,19842,2236,400,38,219,2937,1280,2424,5361,1313,244,118,582,226,263,114,915,642,460,660,54,545,1582,130,3737,83,499,545,1472,1210,51,474,454,12799,0,113,366,30,568,4715,1817,37,1741,N/A,0,302,55
WV,West Virginia,0,0,15,0,44,0,0,0,14,301,0,0,0,13,0,0,0,593,0,0,1348,0,0,0,0,0,0,0,0,0,0,0,0,484,0,3101,0,0,0,0,138,0,34,0,0,0,1577,0,N/A,0,0
WI,Wisconsin,0,0,2245,69,1998,666,77,0,95,2297,534,65,29,7709,430,415,82,84,102,13,138,238,1275,6699,40,229,31,71,773,0,71,70,363,339,0,298,43,142,0,16,0,0,291,1108,94,0,250,360,0,N/A,0
WY,Wyoming,0,0,478,0,260,1506,0,0,0,58,20,0,208,16,0,0,0,0,0,0,0,0,0,0,0,0,518,200,287,0,0,58,0,0,0,22,0,57,0,0,0,187,0,133,739,0,0,63,0,0,N/A